index,创作者ID,创作者名称_x,是否官方_x,5月被开练课程数量,开练UV,开练PV,首次开练UV,首次开练PV,5月被完练课程数量,完练UV,完练PV,首次完练UV,首次完练PV,首次完练&复练UV,创作者次月完练-完练留存UV,详情页UV,详情页PV,创作者月完练-完练留存UV,创作者月完练-7日内App留存UV,次月复练率-UV,完练率-UV,当月复练率,完练-7日内App留存率,创作者名称_y,是否官方_y,classif
0,5e900e47b52fab25b7214433,减脂塑形中的Keep君,"[false,true]",409.0,5655327.0,26614200.0,3276641.0,5497255.0,404.0,4378045.0,20881209.0,2177768.0,2913176.0,1106877.0,1553324.0,8288366.0,70447593.0,2374203.0,3511408.0,0.35,0.77,0.54,0.8,减脂塑形中的Keep君,"[false,true]",0
1,5f0fc67f650b9c74c0c09e9d,帕梅拉_PamelaReif,[false],197.0,4140290.0,27980477.0,3115998.0,7684155.0,196.0,3246820.0,22010010.0,2246565.0,4659194.0,1578039.0,1199478.0,5851274.0,73446144.0,1724381.0,2645523.0,0.37,0.78,0.53,0.81,帕梅拉_PamelaReif,[false],0
2,5588c6cbb7d3f7ee66a50bb0,Keep_课程,"[true,false]",343.0,3338011.0,12953165.0,1959592.0,2864510.0,324.0,2744024.0,10887460.0,1248711.0,1495005.0,499979.0,893112.0,5003771.0,30291128.0,1364081.0,2228522.0,0.33,0.82,0.5,0.81,Keep_课程,"[true,false]",0
3,57bae2760a64ee6335f9a80e,爱跑步的Keep君,[true],89.0,2985643.0,14129288.0,1561085.0,2610218.0,89.0,2720267.0,12793185.0,504832.0,580944.0,232942.0,1051733.0,4123196.0,28100916.0,1510360.0,2192149.0,0.39,0.91,0.56,0.81,爱跑步的Keep君,[true],0
4,5f046d6ad523e91a22fb9c58,韩小四AprilHan,[false],39.0,2304051.0,11320728.0,1610545.0,2673434.0,39.0,1732635.0,8945188.0,1104919.0,1564379.0,638533.0,557341.0,3564179.0,29353961.0,935802.0,1441207.0,0.32,0.75,0.54,0.83,韩小四AprilHan,[false],0
5,55e25ecd46fcd1542d79335f,孵小蛋Sophia,[false],48.0,1713272.0,5430178.0,1355102.0,1909201.0,48.0,1392449.0,4357902.0,1077638.0,1382118.0,383857.0,243112.0,2990730.0,11319884.0,519735.0,1038464.0,0.17,0.81,0.37,0.75,孵小蛋Sophia,[false],1
6,5e900ef2b52fab25b7219384,增肌中的Keep君,[true],51.0,1374244.0,5584184.0,893555.0,1428721.0,51.0,1059943.0,4356957.0,609334.0,776793.0,298626.0,411869.0,2098007.0,17491853.0,558687.0,848775.0,0.39,0.77,0.53,0.8,增肌中的Keep君,[true],1
7,56cfe665af1acaf20330c4f7,语姐姐,"[false,true]",104.0,1190325.0,3962302.0,902169.0,1229030.0,104.0,894650.0,3109373.0,648210.0,790834.0,263992.0,202654.0,2138071.0,10164549.0,386208.0,711253.0,0.23,0.75,0.43,0.8,语姐姐,"[false,true]",1
8,57a31cbf0d67f923059a5a83,周六野Zoey,[false],122.0,1037553.0,3742923.0,750860.0,1148878.0,122.0,796947.0,2956359.0,541885.0,733951.0,230064.0,203374.0,1801043.0,10396351.0,353286.0,670376.0,0.26,0.77,0.44,0.84,周六野Zoey,[false],1
9,6051ae7da78eee41a7fd5de6,挺住别胖啊,[false],286.0,950779.0,3809085.0,746162.0,1271249.0,286.0,682953.0,2835171.0,495580.0,706877.0,253815.0,238808.0,1639954.0,11976641.0,348493.0,597875.0,0.35,0.72,0.51,0.88,挺住别胖啊,[false],1
10,5abcb4ebe666864ca1d33e40,im斯文姐,[false],57.0,850830.0,2413771.0,606987.0,755893.0,56.0,592752.0,1782821.0,396076.0,440258.0,129135.0,123625.0,1505028.0,5895677.0,234283.0,484190.0,0.21,0.7,0.4,0.82,im斯文姐,[false],1
11,623a9d97eaf6fb00010ecb21,慷慨的觅眸,[false],31.0,846186.0,2040472.0,781393.0,891852.0,31.0,640651.0,1571872.0,596277.0,599380.0,210680.0,603.0,1602656.0,4342544.0,236899.0,482456.0,0.0,0.76,0.37,0.75,慷慨的觅眸,[false],2
12,5701fc7bbdd5b65b71140b7c,Koach-Punk,[false],245.0,781380.0,1817060.0,734487.0,850442.0,29.0,565319.0,1376470.0,530527.0,542651.0,177626.0,69703.0,1506140.0,4326901.0,195518.0,406455.0,0.12,0.72,0.35,0.72,Koach-Punk,[false],2
13,57d12cc931f11615833b6e47,全家桶你造嘛,[false],66.0,721333.0,3464007.0,517109.0,783181.0,68.0,573287.0,2845385.0,383092.0,496696.0,232096.0,199023.0,1197473.0,8229595.0,329702.0,493887.0,0.35,0.79,0.58,0.86,全家桶你造嘛,[false],1
14,557cdbcabf13604068ae6a76,安安小雨_,"[false,true]",236.0,654619.0,2628211.0,464827.0,665351.0,126.0,492582.0,2068092.0,317258.0,393390.0,143444.0,143866.0,1186660.0,7069722.0,240259.0,421052.0,0.29,0.75,0.49,0.85,安安小雨_,"[false,true]",1
15,5f113f85650b9c74c032a67b,欧阳春晓Aurora,[false],63.0,614278.0,3112401.0,346137.0,505317.0,63.0,508529.0,2542617.0,261185.0,304978.0,162950.0,172855.0,892608.0,6732422.0,323861.0,444681.0,0.34,0.83,0.64,0.87,欧阳春晓Aurora,[false],1
16,57c3c043493303162d569d8c,Jessie六六要自律,[false],69.0,613771.0,1659722.0,518031.0,643992.0,69.0,450332.0,1285482.0,367649.0,405527.0,121868.0,92326.0,1159559.0,4028892.0,170334.0,369386.0,0.21,0.73,0.38,0.82,Jessie六六要自律,[false],1
