创作者ID,创作者名称,是否官方,5月被开练课程数量,开练UV,开练PV,首次开练UV,首次开练PV,5月被完练课程数量,完练UV,完练PV,首次完练UV,首次完练PV,首次完练&复练UV,创作者次月完练-完练留存UV,详情页UV,详情页PV,创作者月完练-完练留存UV,创作者月完练-7日内App留存UV,次月复练率-UV,完练率-UV,当月复练率,完练-7日内App留存率
5e900e47b52fab25b7214433,减脂塑形中的Keep君,"[false,true]",409.00 ,5655327.00 ,26614200.00 ,3276641.00 ,5497255.00 ,404.00 ,4378045.00 ,20881209.00 ,2177768.00 ,2913176.00 ,1106877.00 ,1553324.00 ,8288366.00 ,70447593.00 ,2374203.00 ,3511408.00 ,0.35 ,0.77 ,0.54 ,0.80 
5f0fc67f650b9c74c0c09e9d,帕梅拉_PamelaReif,[false],197.00 ,4140290.00 ,27980477.00 ,3115998.00 ,7684155.00 ,196.00 ,3246820.00 ,22010010.00 ,2246565.00 ,4659194.00 ,1578039.00 ,1199478.00 ,5851274.00 ,73446144.00 ,1724381.00 ,2645523.00 ,0.37 ,0.78 ,0.53 ,0.81 
5588c6cbb7d3f7ee66a50bb0,Keep_课程,"[true,false]",343.00 ,3338011.00 ,12953165.00 ,1959592.00 ,2864510.00 ,324.00 ,2744024.00 ,10887460.00 ,1248711.00 ,1495005.00 ,499979.00 ,893112.00 ,5003771.00 ,30291128.00 ,1364081.00 ,2228522.00 ,0.33 ,0.82 ,0.50 ,0.81 
57bae2760a64ee6335f9a80e,爱跑步的Keep君,[true],89.00 ,2985643.00 ,14129288.00 ,1561085.00 ,2610218.00 ,89.00 ,2720267.00 ,12793185.00 ,504832.00 ,580944.00 ,232942.00 ,1051733.00 ,4123196.00 ,28100916.00 ,1510360.00 ,2192149.00 ,0.39 ,0.91 ,0.56 ,0.81 
5f046d6ad523e91a22fb9c58,韩小四AprilHan,[false],39.00 ,2304051.00 ,11320728.00 ,1610545.00 ,2673434.00 ,39.00 ,1732635.00 ,8945188.00 ,1104919.00 ,1564379.00 ,638533.00 ,557341.00 ,3564179.00 ,29353961.00 ,935802.00 ,1441207.00 ,0.32 ,0.75 ,0.54 ,0.83 
55e25ecd46fcd1542d79335f,孵小蛋Sophia,[false],48.00 ,1713272.00 ,5430178.00 ,1355102.00 ,1909201.00 ,48.00 ,1392449.00 ,4357902.00 ,1077638.00 ,1382118.00 ,383857.00 ,243112.00 ,2990730.00 ,11319884.00 ,519735.00 ,1038464.00 ,0.17 ,0.81 ,0.37 ,0.75 
5e900ef2b52fab25b7219384,增肌中的Keep君,[true],51.00 ,1374244.00 ,5584184.00 ,893555.00 ,1428721.00 ,51.00 ,1059943.00 ,4356957.00 ,609334.00 ,776793.00 ,298626.00 ,411869.00 ,2098007.00 ,17491853.00 ,558687.00 ,848775.00 ,0.39 ,0.77 ,0.53 ,0.80 
56cfe665af1acaf20330c4f7,语姐姐,"[false,true]",104.00 ,1190325.00 ,3962302.00 ,902169.00 ,1229030.00 ,104.00 ,894650.00 ,3109373.00 ,648210.00 ,790834.00 ,263992.00 ,202654.00 ,2138071.00 ,10164549.00 ,386208.00 ,711253.00 ,0.23 ,0.75 ,0.43 ,0.80 
57a31cbf0d67f923059a5a83,周六野Zoey,[false],122.00 ,1037553.00 ,3742923.00 ,750860.00 ,1148878.00 ,122.00 ,796947.00 ,2956359.00 ,541885.00 ,733951.00 ,230064.00 ,203374.00 ,1801043.00 ,10396351.00 ,353286.00 ,670376.00 ,0.26 ,0.77 ,0.44 ,0.84 
6051ae7da78eee41a7fd5de6,挺住别胖啊,[false],286.00 ,950779.00 ,3809085.00 ,746162.00 ,1271249.00 ,286.00 ,682953.00 ,2835171.00 ,495580.00 ,706877.00 ,253815.00 ,238808.00 ,1639954.00 ,11976641.00 ,348493.00 ,597875.00 ,0.35 ,0.72 ,0.51 ,0.88 
5abcb4ebe666864ca1d33e40,im斯文姐,[false],57.00 ,850830.00 ,2413771.00 ,606987.00 ,755893.00 ,56.00 ,592752.00 ,1782821.00 ,396076.00 ,440258.00 ,129135.00 ,123625.00 ,1505028.00 ,5895677.00 ,234283.00 ,484190.00 ,0.21 ,0.70 ,0.40 ,0.82 
623a9d97eaf6fb00010ecb21,慷慨的觅眸,[false],31.00 ,846186.00 ,2040472.00 ,781393.00 ,891852.00 ,31.00 ,640651.00 ,1571872.00 ,596277.00 ,599380.00 ,210680.00 ,603.00 ,1602656.00 ,4342544.00 ,236899.00 ,482456.00 ,0.00 ,0.76 ,0.37 ,0.75 
5701fc7bbdd5b65b71140b7c,Koach-Punk,[false],245.00 ,781380.00 ,1817060.00 ,734487.00 ,850442.00 ,29.00 ,565319.00 ,1376470.00 ,530527.00 ,542651.00 ,177626.00 ,69703.00 ,1506140.00 ,4326901.00 ,195518.00 ,406455.00 ,0.12 ,0.72 ,0.35 ,0.72 
57d12cc931f11615833b6e47,全家桶你造嘛,[false],66.00 ,721333.00 ,3464007.00 ,517109.00 ,783181.00 ,68.00 ,573287.00 ,2845385.00 ,383092.00 ,496696.00 ,232096.00 ,199023.00 ,1197473.00 ,8229595.00 ,329702.00 ,493887.00 ,0.35 ,0.79 ,0.58 ,0.86 
557cdbcabf13604068ae6a76,安安小雨_,"[false,true]",236.00 ,654619.00 ,2628211.00 ,464827.00 ,665351.00 ,126.00 ,492582.00 ,2068092.00 ,317258.00 ,393390.00 ,143444.00 ,143866.00 ,1186660.00 ,7069722.00 ,240259.00 ,421052.00 ,0.29 ,0.75 ,0.49 ,0.85 
5f113f85650b9c74c032a67b,欧阳春晓Aurora,[false],63.00 ,614278.00 ,3112401.00 ,346137.00 ,505317.00 ,63.00 ,508529.00 ,2542617.00 ,261185.00 ,304978.00 ,162950.00 ,172855.00 ,892608.00 ,6732422.00 ,323861.00 ,444681.00 ,0.34 ,0.83 ,0.64 ,0.87 
57c3c043493303162d569d8c,Jessie六六要自律,[false],69.00 ,613771.00 ,1659722.00 ,518031.00 ,643992.00 ,69.00 ,450332.00 ,1285482.00 ,367649.00 ,405527.00 ,121868.00 ,92326.00 ,1159559.00 ,4028892.00 ,170334.00 ,369386.00 ,0.21 ,0.73 ,0.38 ,0.82 
5cc9bcd6d20f9c47d9f6cdc8,猫叔慢跑,"[false,true]",148.00 ,599420.00 ,2525225.00 ,475381.00 ,706219.00 ,143.00 ,394240.00 ,1967146.00 ,282441.00 ,370750.00 ,133923.00 ,101073.00 ,1256317.00 ,6595683.00 ,185707.00 ,306741.00 ,0.26 ,0.66 ,0.47 ,0.78 
623a9da884307c0001bf2489,气质超好的大方的素颜,[false],51.00 ,553031.00 ,1016963.00 ,546813.00 ,628791.00 ,50.00 ,490846.00 ,863985.00 ,487736.00 ,527879.00 ,129572.00 ,80037.00 ,1156549.00 ,2826245.00 ,127462.00 ,353175.00 ,0.16 ,0.89 ,0.26 ,0.72 
5638c42178f2402305feee70,男人要活出你的霸气,[false],98.00 ,522349.00 ,1735708.00 ,415018.00 ,550744.00 ,98.00 ,327478.00 ,1246870.00 ,241876.00 ,279951.00 ,89221.00 ,65968.00 ,1038459.00 ,4259937.00 ,137398.00 ,255216.00 ,0.20 ,0.63 ,0.42 ,0.78 
57209de54714702202cd6705,Koach团子,[false],748.00 ,478283.00 ,1104393.00 ,384385.00 ,459615.00 ,70.00 ,349696.00 ,773442.00 ,294033.00 ,328322.00 ,73923.00 ,43907.00 ,905740.00 ,2656607.00 ,97406.00 ,261776.00 ,0.13 ,0.73 ,0.28 ,0.75 
5783b1828ea21744059ecc96,点滴斯诺,[false],28.00 ,478020.00 ,851300.00 ,476148.00 ,686492.00 ,28.00 ,240006.00 ,406047.00 ,239887.00 ,285213.00 ,69304.00 ,1372.00 ,1057167.00 ,3515952.00 ,64001.00 ,205465.00 ,0.01 ,0.50 ,0.27 ,0.86 
5e9001a8d20f9c0d2ab7bcdc,练瑜伽的Keep君,[true],116.00 ,450047.00 ,1582138.00 ,235456.00 ,338732.00 ,116.00 ,331489.00 ,1249988.00 ,136458.00 ,173141.00 ,37921.00 ,120027.00 ,725055.00 ,3792790.00 ,138376.00 ,269338.00 ,0.36 ,0.74 ,0.42 ,0.81 
62207f878b21f80001b76321,伴你入睡的 Keep 君,[true],128.00 ,423464.00 ,1901692.00 ,289002.00 ,583386.00 ,124.00 ,369228.00 ,1549653.00 ,122189.00 ,211673.00 ,48713.00 ,132888.00 ,598151.00 ,3651222.00 ,185001.00 ,294496.00 ,0.36 ,0.87 ,0.50 ,0.80 
56fde40b5bc83f494b2d9733,向安茜,[false],49.00 ,415118.00 ,1140983.00 ,301345.00 ,364144.00 ,49.00 ,274075.00 ,857470.00 ,176054.00 ,181395.00 ,60557.00 ,44348.00 ,693071.00 ,2370084.00 ,120197.00 ,235176.00 ,0.16 ,0.66 ,0.44 ,0.86 
56d16ad982ecf1ab7a9227fd,Ternura刘建,[false],55.00 ,394610.00 ,1094363.00 ,297541.00 ,412405.00 ,55.00 ,257529.00 ,742023.00 ,175036.00 ,200859.00 ,62673.00 ,66412.00 ,732904.00 ,3858864.00 ,108067.00 ,207061.00 ,0.26 ,0.65 ,0.42 ,0.80 
5a39dd651cf3d1376437a27f,赵没力,"[false,true]",283.00 ,374105.00 ,1161083.00 ,282919.00 ,389620.00 ,113.00 ,264639.00 ,900824.00 ,182133.00 ,232657.00 ,60080.00 ,75901.00 ,729781.00 ,3220520.00 ,102052.00 ,219121.00 ,0.29 ,0.71 ,0.39 ,0.83 
5690afe91c705473183af9d6,Jay潘潘,[false],26.00 ,358933.00 ,971923.00 ,257669.00 ,291157.00 ,26.00 ,288477.00 ,814536.00 ,196949.00 ,202959.00 ,65015.00 ,49401.00 ,701279.00 ,2278118.00 ,116090.00 ,228224.00 ,0.17 ,0.80 ,0.40 ,0.79 
5e9001e06fbc5661efd8e3ea,跳操跳舞的Keep君,"[false,true]",71.00 ,354787.00 ,1050192.00 ,223844.00 ,299968.00 ,72.00 ,244012.00 ,795249.00 ,127987.00 ,154795.00 ,40546.00 ,58809.00 ,720564.00 ,2819969.00 ,98621.00 ,203483.00 ,0.24 ,0.69 ,0.40 ,0.83 
5e900f0c790b93014b25baf2,修炼体态的Keep君 ,[true],12.00 ,344492.00 ,1309167.00 ,170184.00 ,219268.00 ,12.00 ,279041.00 ,1140021.00 ,118833.00 ,130598.00 ,38542.00 ,60755.00 ,611716.00 ,2753671.00 ,117033.00 ,221425.00 ,0.22 ,0.81 ,0.42 ,0.79 
5a839775e66686127449fc21,古月子辰,[false],112.00 ,325604.00 ,840101.00 ,271534.00 ,332419.00 ,109.00 ,226967.00 ,619105.00 ,185180.00 ,205730.00 ,55466.00 ,37292.00 ,698165.00 ,2262847.00 ,79714.00 ,185212.00 ,0.16 ,0.70 ,0.35 ,0.82 
57028cca6cd4753005d9bfba,Derek大骏,[false],108.00 ,318270.00 ,773593.00 ,260344.00 ,309503.00 ,107.00 ,201076.00 ,549904.00 ,150616.00 ,157299.00 ,47274.00 ,43788.00 ,718144.00 ,2340307.00 ,77734.00 ,161501.00 ,0.22 ,0.63 ,0.39 ,0.80 
621c475c710fa300018b2b99,月球上的温柔少女心,[false],69.00 ,310098.00 ,835704.00 ,250500.00 ,284729.00 ,68.00 ,232724.00 ,659963.00 ,183264.00 ,189167.00 ,58549.00 ,39565.00 ,659172.00 ,1968868.00 ,88988.00 ,187485.00 ,0.17 ,0.75 ,0.38 ,0.81 
59ef0d871cf3d14e9edafe81,Koach-Jonathan乔纳森,"[true,false]",38.00 ,260692.00 ,943008.00 ,128046.00 ,183963.00 ,31.00 ,192543.00 ,703222.00 ,78910.00 ,95669.00 ,31653.00 ,61419.00 ,542333.00 ,2671145.00 ,96990.00 ,169026.00 ,0.32 ,0.74 ,0.50 ,0.88 
56492e6cec3142e6c7cbae03,魔力桃桃,[false],127.00 ,233524.00 ,776436.00 ,206575.00 ,371743.00 ,127.00 ,161376.00 ,568023.00 ,137796.00 ,235714.00 ,51558.00 ,26695.00 ,470641.00 ,2129526.00 ,48964.00 ,124383.00 ,0.17 ,0.69 ,0.30 ,0.77 
5cdad45fd20f9c3a8e4d4118,爱健身的较真万,[false],16.00 ,232907.00 ,606765.00 ,183949.00 ,222216.00 ,16.00 ,149215.00 ,407867.00 ,113593.00 ,116318.00 ,41372.00 ,31308.00 ,465468.00 ,1802223.00 ,63076.00 ,120470.00 ,0.21 ,0.64 ,0.42 ,0.81 
NULL,NULL,"[true,false]",1305.00 ,228083.00 ,385706.00 ,102055.00 ,159138.00 ,285.00 ,15026.00 ,46220.00 ,1447.00 ,1670.00 ,741.00 ,4715.00 ,2587286.00 ,15246749.00 ,7065.00 ,12501.00 ,0.31 ,0.07 ,0.47 ,0.83 
5808852d4933031fb0924942,miss朱zhu,[false],26.00 ,225000.00 ,526162.00 ,198463.00 ,225621.00 ,26.00 ,168251.00 ,409104.00 ,146305.00 ,152697.00 ,45224.00 ,32311.00 ,487798.00 ,1371692.00 ,58800.00 ,133979.00 ,0.19 ,0.75 ,0.35 ,0.80 
559d1eebac29b6b694a5e46f,楚仔Charlotte,[false],65.00 ,213788.00 ,533554.00 ,152562.00 ,174601.00 ,65.00 ,148894.00 ,423049.00 ,93673.00 ,99382.00 ,25963.00 ,31296.00 ,479626.00 ,1405041.00 ,57761.00 ,125183.00 ,0.21 ,0.70 ,0.39 ,0.84 
56aede59da2e4c2838799e7e,闫帅奇,[false],36.00 ,201687.00 ,527982.00 ,162992.00 ,198406.00 ,36.00 ,138584.00 ,394341.00 ,106003.00 ,114203.00 ,33093.00 ,28430.00 ,476069.00 ,1657402.00 ,51071.00 ,109326.00 ,0.21 ,0.69 ,0.37 ,0.79 
5a2e43c51cf3d162335f5fe5,周政廷,[false],81.00 ,199840.00 ,508111.00 ,166748.00 ,219500.00 ,81.00 ,134156.00 ,350713.00 ,106452.00 ,119969.00 ,36197.00 ,37613.00 ,457381.00 ,2244278.00 ,52499.00 ,113923.00 ,0.28 ,0.67 ,0.39 ,0.85 
5e4124ce6fbc567d16ffa527,八一师傅,[false],21.00 ,199653.00 ,512791.00 ,153588.00 ,191763.00 ,21.00 ,132501.00 ,353448.00 ,95610.00 ,100193.00 ,34799.00 ,34430.00 ,436934.00 ,1788231.00 ,55650.00 ,108496.00 ,0.26 ,0.66 ,0.42 ,0.82 
571da97a3a8fdb88019c021b,MissCC就是我鸭,[false],8.00 ,193818.00 ,542356.00 ,133042.00 ,149263.00 ,8.00 ,143096.00 ,427474.00 ,90780.00 ,92589.00 ,32440.00 ,28701.00 ,421595.00 ,1421044.00 ,62576.00 ,112552.00 ,0.20 ,0.74 ,0.44 ,0.79 
58880ea2387e283039554eb0,Nne-,[false],64.00 ,193539.00 ,479567.00 ,164908.00 ,189007.00 ,64.00 ,147639.00 ,364318.00 ,127462.00 ,136675.00 ,38095.00 ,15511.00 ,400489.00 ,1163982.00 ,48222.00 ,112157.00 ,0.11 ,0.76 ,0.33 ,0.76 
5e6a31dab52fab635d5d1cb4,芥末味小丸子,[false],36.00 ,189459.00 ,463187.00 ,140478.00 ,157121.00 ,36.00 ,155958.00 ,388199.00 ,112928.00 ,116922.00 ,32219.00 ,21435.00 ,364835.00 ,1085354.00 ,54870.00 ,126554.00 ,0.14 ,0.82 ,0.35 ,0.81 
5c00d94a1cf3d16cc070447b,EmiWong_王艾米,[false],110.00 ,172709.00 ,388560.00 ,133293.00 ,151839.00 ,110.00 ,124247.00 ,296590.00 ,89591.00 ,94525.00 ,23059.00 ,18080.00 ,375051.00 ,1048448.00 ,40512.00 ,99944.00 ,0.15 ,0.72 ,0.33 ,0.80 
623a9d3deaf6fb00010ec663,勤奋的不浪漫罪名,[false],56.00 ,162624.00 ,323253.00 ,149974.00 ,176733.00 ,56.00 ,121549.00 ,213951.00 ,117641.00 ,126941.00 ,25439.00 ,8233.00 ,339174.00 ,815305.00 ,26402.00 ,96437.00 ,0.07 ,0.75 ,0.22 ,0.79 
5506c982d104a6c9311cd7a1,Koach大婷婷,[false],512.00 ,156304.00 ,394740.00 ,111836.00 ,123331.00 ,32.00 ,110371.00 ,279026.00 ,86338.00 ,88608.00 ,24177.00 ,16701.00 ,310223.00 ,826370.00 ,37474.00 ,85208.00 ,0.15 ,0.71 ,0.34 ,0.77 
623a9dcdd611d60001c0f0b2,爱地球的坚强的该用户已成仙,[false],14.00 ,140611.00 ,291373.00 ,139110.00 ,148983.00 ,14.00 ,131404.00 ,264020.00 ,131083.00 ,134982.00 ,42798.00 ,86.00 ,284091.00 ,720917.00 ,42146.00 ,99348.00 ,0.00 ,0.93 ,0.32 ,0.76 
56c9a197d303c32105b46b9e,白鹳yoga,[false],40.00 ,139655.00 ,328403.00 ,83339.00 ,92296.00 ,40.00 ,114507.00 ,277104.00 ,62830.00 ,64203.00 ,16232.00 ,23992.00 ,226033.00 ,664493.00 ,40933.00 ,87149.00 ,0.21 ,0.82 ,0.36 ,0.76 
5e900fcc6fbc5661efded8a9,Keep热汗瑜伽,"[true,false]",94.00 ,138580.00 ,407028.00 ,104715.00 ,154744.00 ,94.00 ,97899.00 ,313283.00 ,66955.00 ,92904.00 ,22623.00 ,24043.00 ,700545.00 ,2060568.00 ,35095.00 ,84825.00 ,0.25 ,0.71 ,0.36 ,0.87 
616693a9edd76c0291366003,嗨皮燃脂,[true],36.00 ,137738.00 ,394414.00 ,122348.00 ,183002.00 ,36.00 ,87764.00 ,280236.00 ,73810.00 ,101436.00 ,31723.00 ,13675.00 ,672260.00 ,1935591.00 ,36024.00 ,78789.00 ,0.16 ,0.64 ,0.41 ,0.90 
56eea9715a9ef22e05b551ce,Koach-Jojo,[false],614.00 ,130791.00 ,295164.00 ,107444.00 ,131500.00 ,81.00 ,89425.00 ,210626.00 ,73983.00 ,84554.00 ,19505.00 ,14327.00 ,303335.00 ,948859.00 ,26154.00 ,72008.00 ,0.16 ,0.68 ,0.29 ,0.81 
623a9d6839df450001204df4,浪漫的梦想无需昭告天下。,[false],58.00 ,128910.00 ,229795.00 ,116684.00 ,131380.00 ,56.00 ,118822.00 ,195981.00 ,110510.00 ,120988.00 ,16046.00 ,7623.00 ,259846.00 ,543320.00 ,19378.00 ,82483.00 ,0.06 ,0.92 ,0.16 ,0.69 
