创作者ID,创作者名称,是否官方,0
5e900e47b52fab25b7214433,减脂塑形中的Keep君,"[false,true]",3
5f0fc67f650b9c74c0c09e9d,帕梅拉_PamelaReif,[false],3
5588c6cbb7d3f7ee66a50bb0,Keep_课程,"[true,false]",3
57bae2760a64ee6335f9a80e,爱跑步的Keep君,[true],3
5f046d6ad523e91a22fb9c58,韩小四AprilHan,[false],3
55e25ecd46fcd1542d79335f,孵小蛋Sophia,[false],5
5e900ef2b52fab25b7219384,增肌中的Keep君,[true],5
56cfe665af1acaf20330c4f7,语姐姐,"[false,true]",5
57a31cbf0d67f923059a5a83,周六野Zoey,[false],5
6051ae7da78eee41a7fd5de6,挺住别胖啊,[false],5
5abcb4ebe666864ca1d33e40,im斯文姐,[false],5
623a9d97eaf6fb00010ecb21,慷慨的觅眸,[false],5
5701fc7bbdd5b65b71140b7c,Koach-Punk,[false],5
57d12cc931f11615833b6e47,全家桶你造嘛,[false],5
557cdbcabf13604068ae6a76,安安小雨_,"[false,true]",5
5f113f85650b9c74c032a67b,欧阳春晓Aurora,[false],5
57c3c043493303162d569d8c,Jessie六六要自律,[false],5
5cc9bcd6d20f9c47d9f6cdc8,猫叔慢跑,"[false,true]",5
623a9da884307c0001bf2489,气质超好的大方的素颜,[false],5
5638c42178f2402305feee70,男人要活出你的霸气,[false],5
57209de54714702202cd6705,Koach团子,[false],2
5783b1828ea21744059ecc96,点滴斯诺,[false],0
5e9001a8d20f9c0d2ab7bcdc,练瑜伽的Keep君,[true],1
62207f878b21f80001b76321,伴你入睡的 Keep 君,[true],1
56fde40b5bc83f494b2d9733,向安茜,[false],4
56d16ad982ecf1ab7a9227fd,Ternura刘建,[false],1
5a39dd651cf3d1376437a27f,赵没力,"[false,true]",2
5690afe91c705473183af9d6,Jay潘潘,[false],4
5e9001e06fbc5661efd8e3ea,跳操跳舞的Keep君,"[false,true]",1
5e900f0c790b93014b25baf2,修炼体态的Keep君 ,[true],4
5a839775e66686127449fc21,古月子辰,[false],4
57028cca6cd4753005d9bfba,Derek大骏,[false],4
621c475c710fa300018b2b99,月球上的温柔少女心,[false],4
59ef0d871cf3d14e9edafe81,Koach-Jonathan乔纳森,"[true,false]",1
56492e6cec3142e6c7cbae03,魔力桃桃,[false],4
5cdad45fd20f9c3a8e4d4118,爱健身的较真万,[false],4
5808852d4933031fb0924942,miss朱zhu,[false],4
559d1eebac29b6b694a5e46f,楚仔Charlotte,[false],4
56aede59da2e4c2838799e7e,闫帅奇,[false],4
5a2e43c51cf3d162335f5fe5,周政廷,[false],1
5e4124ce6fbc567d16ffa527,八一师傅,[false],1
571da97a3a8fdb88019c021b,MissCC就是我鸭,[false],4
58880ea2387e283039554eb0,Nne-,[false],4
5e6a31dab52fab635d5d1cb4,芥末味小丸子,[false],4
5c00d94a1cf3d16cc070447b,EmiWong_王艾米,[false],4
623a9d3deaf6fb00010ec663,勤奋的不浪漫罪名,[false],0
5506c982d104a6c9311cd7a1,Koach大婷婷,[false],2
623a9dcdd611d60001c0f0b2,爱地球的坚强的该用户已成仙,[false],0
56c9a197d303c32105b46b9e,白鹳yoga,[false],4
5e900fcc6fbc5661efded8a9,Keep热汗瑜伽,"[true,false]",1
616693a9edd76c0291366003,嗨皮燃脂,[true],4
56eea9715a9ef22e05b551ce,Koach-Jojo,[false],2
623a9d6839df450001204df4,浪漫的梦想无需昭告天下。,[false],0
54bf30dd9eb5cd2c4c90be46,Keep,"[false,true]",1
5e74946f6fbc56402e7af737,ZumbaxKeep_官方合作,"[true,false]",1
61c18d1fa7f80e0001766dc4,美丽芭蕾 X Keep 官方合作,[false],1
621c475b39b2dd0001a10e47,空城仅有旧梦在,[false],4
5bf2cf41fe6e4348fb5265b3,黑妞福大玥,[false],4
5dc28fc2b52fab4eb10764bf,瘦身女王郑多燕,[false],1
5d6e7ee5b52fab2e94a80304,Koach-Vivi,"[false,true]",2
58f8a37f8c26a3632ac9ce78,王小宅Joye,[false],4
56e8b33ee10e55ed62b7ef69,大越越moon,[false],4
626667fe2fce7700013bb273,励娜Lina,[false],4
587bcc6c31f1160acb2feada,Holisticfit_Cece,[false],1
56e6617ec262fdf346ffd9d3,罗洪Ric,[false],1
623a9d9539df4500012050ba,敏捷的女人╮活得坚强些,[false],0
57ec80e331f1160ba7e19da8,Koach-Fiona,[false],4
59e88b827511ce4e24ee6d6f,Mr彦Alex,[false],2
55edf12db744bee9c6245488,佳宝_JIABAO,[false],4
565328ae46be44e04bd0845f,Leon家庭健身,[false],1
55bce79ce188b7ebac88506b,奥博朗AllblancTV,[false],1
5752daf68f3e26c41e987b8a,晓勒小乐笑了xjbl,[false],1
56d068cf7efda849070dcf52,猫有力39,[false],0
6258e298fe9ada0001aaee80,growwithjo,[false],1
5b685c967511ce3080e7e2f8,K-小咪,[false],4
623a9d3c57a9d60001df267d,简单的时光不染回忆不淡,[false],0
5d9deb1fa2d5fc1909a4de8c,我是上雅,[false],4
54fe6e5c944fd9ce2dafc97a,__Erik,[false],1
60a71da3ad076b6a2e2212ce,又见一莲幽梦,[false],1
5e900fa6d20f9c0d2abdbcec,Keep_气质芭蕾,[true],1
